system:index,Crop Name,NDVI,State,precipitation,temperature_2m,.geo
000000000000000001ef_0_0,Wheat,5914.666666666667,Bihar,3.0589614,298.67293126591863,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.70888550426058,26.77204125497204]}"
000000000000000001ef_1_0,Wheat,4363.666666666667,Bihar,3.3545551,298.9706446609217,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.5594149895468,25.640163996981443]}"
000000000000000001ef_2_0,Wheat,5124.333333333333,Bihar,2.2315876,299.1775144919372,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.74930969204595,25.110157979350927]}"
000000000000000001ef_3_0,Wheat,5022.666666666667,Bihar,6.044066,298.0851922227349,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.64188490691082,26.206102625976744]}"
000000000000000001ef_4_0,Wheat,5644.0,Bihar,2.0982857,299.1102217789534,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.80607864372047,25.074225367986145]}"
000000000000000001ef_5_0,Wheat,5554.0,Bihar,2.1626334,298.95501205947363,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.09353953463871,25.456009363736943]}"
000000000000000001ef_6_0,Wheat,5441.0,Bihar,3.3258677,298.96553358140886,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.42915927334947,25.75694498391698]}"
000000000000000001ef_7_0,Wheat,6030.333333333333,Bihar,2.4318385,299.09514698964784,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.18050102842334,25.9096585822173]}"
000000000000000001ef_8_0,Wheat,6529.0,Bihar,2.9674,298.9562949156152,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.71499862247444,25.96804907568507]}"
000000000000000001ef_9_0,Wheat,3364.0,Bihar,3.29017,298.9501732906578,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.5414486838644,25.653638726243237]}"
000000000000000001ef_10_0,Wheat,5723.666666666667,Bihar,2.431332,299.0533280704485,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.00982112444062,25.900675429376104]}"
000000000000000001ef_11_0,Wheat,6002.333333333333,Bihar,3.5158741,298.90750099713114,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.64924651795874,25.73897867823459]}"
000000000000000001ef_12_0,Wheat,5913.666666666667,Bihar,3.3644192,298.48779352767986,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.80770018551372,26.88433066548698]}"
000000000000000001ef_13_0,Wheat,6425.666666666667,Bihar,2.290675,299.0606818007025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.48717671785803,25.222447389865867]}"
000000000000000001ef_14_0,Wheat,3657.6666666666665,Bihar,2.1798627,297.7936138670087,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.63090716331716,24.57566038529981]}"
000000000000000001ef_15_0,Wheat,4374.0,Bihar,2.36312,299.0782523242546,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.0322790065436,24.786764477067898]}"
000000000000000001ef_16_0,Wheat,5103.0,Bihar,2.7171516,299.1802172538563,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.68804916395086,25.298804189016025]}"
000000000000000001ef_17_0,Wheat,6403.333333333333,Bihar,2.5690758,299.00325263725534,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.78524230341074,26.13872897966778]}"
000000000000000001ef_18_0,Wheat,5040.0,Bihar,3.2330835,298.8110178294199,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.82890957478266,25.04727590946256]}"
000000000000000001ef_19_0,Wheat,5358.666666666667,Bihar,2.180036,299.18505177480415,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.63252870511042,25.04278433304196]}"
000000000000000001ef_20_0,Wheat,5778.0,Bihar,1.9405164,298.94932818849435,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.4887982596513,25.545840892148895]}"
000000000000000001ef_21_0,Wheat,4298.333333333333,Bihar,3.2219498,298.98546770815454,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.01755578444775,25.114649555771525]}"
000000000000000001ef_22_0,Wheat,4984.666666666667,Bihar,2.1481228,297.7297775771591,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.91387647781481,24.66549191371176]}"
000000000000000001ef_23_0,Wheat,5895.0,Bihar,2.5690758,299.00325263725534,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.78973387983135,26.111779521144193]}"
000000000000000001ef_24_0,Wheat,4986.0,Bihar,2.8123963,299.09861794496186,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.82728803298939,25.002360145256585]}"
000000000000000001ef_25_0,Wheat,6275.666666666667,Bihar,4.263667,298.6164390927269,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.77501065773548,26.11627109756479]}"
000000000000000001ef_26_0,Wheat,5648.666666666667,Bihar,2.7917545,299.1201774401539,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.4275377315562,25.68957133760802]}"
000000000000000001ef_27_0,Wheat,6509.0,Bihar,3.6513855,298.7007829715044,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.51287768354756,26.704667608663076]}"
000000000000000001ef_28_0,Wheat,5538.666666666667,Bihar,2.8883615,299.0017884642216,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.73745650457744,25.936608040740886]}"
000000000000000001ef_29_0,Wheat,4440.333333333333,Bihar,3.6844513,298.5271312448134,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.35280247419931,26.376782529959453]}"
000000000000000001ef_30_0,Wheat,5798.0,Bihar,2.1083229,299.20870189177697,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.63702028153102,24.93049492252702]}"
000000000000000001ef_31_0,Wheat,5761.0,Bihar,3.9866943,298.739233107794,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.83789272762385,25.864742818011322]}"
000000000000000001ef_32_0,Wheat,5027.0,Bihar,3.0718715,298.6916972289592,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.76727599772835,26.745091796448456]}"
000000000000000001ef_33_0,Wheat,5771.333333333333,Bihar,3.7078376,298.70263437124385,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.41568454408767,26.156695285350168]}"
000000000000000001ef_34_0,Wheat,5572.0,Bihar,2.9828255,299.08137137723924,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.60433075375278,25.06075063872435]}"
000000000000000001ef_35_0,Wheat,5679.666666666667,Bihar,2.7033842,298.99042474655886,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.31973989746186,24.89456231116224]}"
000000000000000001ef_36_0,Wheat,5603.333333333333,Bihar,2.7084377,298.92842152354496,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.50838610712695,24.72837398360013]}"
000000000000000001ef_37_0,Wheat,4987.666666666667,Bihar,4.9137516,298.57506508180956,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.32747455746899,25.950082770002677]}"
000000000000000001ef_38_0,Wheat,5435.666666666667,Bihar,3.1273563,298.89393956669954,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.02491739549568,26.129745826826582]}"
000000000000000001ef_39_0,Wheat,5594.0,Bihar,2.8756716,298.96677798316585,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.61905397584863,26.201611049556146]}"
000000000000000001ef_40_0,Wheat,6578.666666666667,Bihar,2.5169406,299.0229775006083,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.81668333835492,25.999490110629253]}"
000000000000000001ef_41_0,Wheat,5817.0,Bihar,2.0356522,298.988993438609,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.20133736873305,24.984393839574192]}"
000000000000000001ef_42_0,Wheat,3991.6666666666665,Bihar,6.0344467,297.7288229247154,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.18985723022372,26.354324647856462]}"
000000000000000001ef_43_0,Wheat,5443.666666666667,Bihar,2.2352326,299.14507754818413,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.90651486676688,24.827188664853278]}"
000000000000000001ef_44_0,Wheat,4767.666666666667,Bihar,2.0234919,298.9551678891584,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.53371402385727,25.447026210895746]}"
000000000000000001ef_45_0,Wheat,5546.0,Bihar,2.1441925,298.59363541934965,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.52473087101608,24.494812009729053]}"
000000000000000001ef_46_0,Wheat,5804.333333333333,Bihar,2.7290626,299.0779645870896,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.2254167926293,25.42456832879276]}"
000000000000000001ef_47_0,Wheat,6046.0,Bihar,3.5139513,299.06125749860473,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.62229705943517,25.49643355152232]}"
000000000000000001ef_48_0,Wheat,5554.666666666667,Bihar,2.1572287,299.18505177480415,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.62803712868983,24.975410686732996]}"
000000000000000001ef_49_0,Wheat,6738.333333333333,Bihar,2.8801262,299.31211333222456,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.16415626453421,25.30778734185722]}"
000000000000000001ef_50_0,Wheat,3963.3333333333335,Bihar,2.9646783,298.8394327128763,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.5324655310232,24.872104429059252]}"
000000000000000001ef_51_0,Wheat,6037.0,Bihar,2.826481,298.8988954872438,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.46060030829365,25.015834874518376]}"
000000000000000001ef_52_0,Wheat,4828.0,Bihar,3.3364217,298.86906539302163,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.41568454408767,26.03542272199403]}"
000000000000000001ef_53_0,Wheat,4684.333333333333,Bihar,3.2225075,298.7327694176755,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.02940897191628,26.43517302342722]}"
000000000000000001ef_54_0,Wheat,5990.0,Bihar,2.7826338,299.03310687725343,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.96490536023465,26.19262789671495]}"
000000000000000001ef_55_0,Wheat,5769.0,Bihar,3.41283,299.1926927950793,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.7256033171089,25.352703106063196]}"
000000000000000001ef_56_0,Wheat,5218.666666666667,Bihar,2.7865267,298.9892217056215,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.54718875311907,26.2869510015475]}"
000000000000000001ef_57_0,Wheat,4700.333333333333,Bihar,2.149497,299.04695671556635,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.97388851307583,24.66549191371176]}"
